url,page,store,brand,tech,size,resolution,price
https://www.bestbuy.com/site/vizio-50-class-led-v-series-2160p-smart-4k-uhd-tv-with-hdr/6305315.p?skuId=6305315,2,Best Buy,VIZIO,LED,50,4K,Your price for this item is $299.99
https://www.bestbuy.com/site/lg-32-class-led-720p-smart-hdtv-with-hdr/6334010.p?skuId=6334010,2,Best Buy,LG,LED,32,720p,Your price for this item is $139.99
https://www.bestbuy.com/site/tcl-40-class-led-3-series-1080p-smart-hdtv-roku-tv/6302321.p?skuId=6302321,2,Best Buy,TCL,LED,40,1080p,Your price for this item is $179.99
https://www.bestbuy.com/site/vizio-50-class-led-m-series-quantum-series-2160p-smart-4k-uhd-tv-with-hdr/6345462.p?skuId=6345462,2,Best Buy,VIZIO,LED,50,4K,Your price for this item is $399.99
https://www.bestbuy.com/site/insignia-55-class-led-1080p-hdtv/6172325.p?skuId=6172325,2,Best Buy,Insignia™,LED,55,1080p,Your price for this item is $249.99
https://www.bestbuy.com/site/vizio-65-class-led-e-series-2160p-smart-4k-uhd-tv-with-hdr/6213226.p?skuId=6213226,2,Best Buy,VIZIO,LED,65,4K,Your price for this item is $549.99
https://www.bestbuy.com/site/sony-65-class-led-x900f-series-2160p-smart-4k-ultra-hd-tv-with-hdr/6179726.p?skuId=6179726,2,Best Buy,Sony,LED,65,4K,"Your price for this item is $1,299.99"
https://www.bestbuy.com/site/toshiba-50-class-led-2160p-smart-4k-uhd-tv-with-hdr-fire-tv-edition/6318196.p?skuId=6318196,2,Best Buy,Toshiba,LED,50,4K,Your price for this item is $279.99
https://www.bestbuy.com/site/lg-24-class-led-720p-hdtv/5734900.p?skuId=5734900,2,Best Buy,LG,LED,24,720p,Your price for this item is $89.99
https://www.bestbuy.com/site/sharp-40-class-led-1080p-smart-hdtv-roku-tv/6261177.p?skuId=6261177,2,Best Buy,Sharp,LED,40,1080p,Your price for this item is $199.99
https://www.bestbuy.com/site/insignia-50-class-led-1080p-hdtv/6172324.p?skuId=6172324,2,Best Buy,Insignia™,LED,50,1080p,Your price for this item is $229.99
https://www.bestbuy.com/site/tcl-32-class-led-3-series-720p-smart-hdtv-roku-tv/6315439.p?skuId=6315439,2,Best Buy,TCL,LED,32,720p,Your price for this item is $129.99
https://www.bestbuy.com/site/samsung-75-class-led-nu6900-series-2160p-smart-4k-uhd-tv-with-hdr/6290167.p?skuId=6290167,2,Best Buy,Samsung,LED,75,4K,Your price for this item is $999.99
https://www.bestbuy.com/site/samsung-55-class-led-q70-series-2160p-smart-4k-uhd-tv-with-hdr/6331759.p?skuId=6331759,2,Best Buy,Samsung,LED,55,4K,"Your price for this item is $1,099.99"
https://www.bestbuy.com/site/tcl-43-class-led-4-series-2160p-smart-4k-uhd-tv-with-hdr-roku-tv/6317675.p?skuId=6317675,2,Best Buy,TCL,LED,43,4K,Your price for this item is $229.99
https://www.bestbuy.com/site/samsung-55-class-led-8-series-2160p-smart-4k-uhd-tv-with-hdr/6323718.p?skuId=6323718,2,Best Buy,Samsung,LED,55,4K,Your price for this item is $749.99
https://www.bestbuy.com/site/lg-43-class-led-uk6090-series-2160p-smart-4k-uhd-tv-with-hdr/6290168.p?skuId=6290168,3,Best Buy,LG,LED,43,4K,Your price for this item is $269.99
https://www.bestbuy.com/site/lg-43-class-led-1080p-smart-hdtv-with-hdr/6334012.p?skuId=6334012,3,Best Buy,LG,LED,43,1080p,Your price for this item is $224.99
https://www.bestbuy.com/site/tcl-55-class-led-6-series-2160p-smart-4k-uhd-tv-with-hdr-roku-tv/6204548.p?skuId=6204548,3,Best Buy,TCL,LED,55,4K,Your price for this item is $499.99
https://www.bestbuy.com/site/vizio-40-class-led-d-series-1080p-smart-hdtv/6288347.p?skuId=6288347,3,Best Buy,VIZIO,LED,40,1080p,Your price for this item is $199.99
https://www.bestbuy.com/site/samsung-58-class-led-7-series-2160p-smart-4k-uhd-tv-with-hdr/6323727.p?skuId=6323727,3,Best Buy,Samsung,LED,58,4K,Your price for this item is $549.99
https://www.bestbuy.com/site/vizio-65-class-led-p-series-quantum-series-2160p-smart-4k-uhd-tv-with-hdr/6346168.p?skuId=6346168,3,Best Buy,VIZIO,LED,65,4K,Your price for this item is $999.99
https://www.bestbuy.com/site/lg-28-class-led-768p-smart-hdtv/6337628.p?skuId=6337628,3,Best Buy,LG,LED,28,768p,Your price for this item is $159.99
https://www.bestbuy.com/site/westinghouse-32-class-led-720p-hdtv-dvd-combo/5872505.p?skuId=5872505,3,Best Buy,Westinghouse,LED,32,720p,Your price for this item is $129.99
https://www.bestbuy.com/site/tcl-65-class-led-6-series-2160p-smart-4k-uhd-tv-with-hdr-roku-tv/6204551.p?skuId=6204551,3,Best Buy,TCL,LED,65,4K,Your price for this item is $729.99
https://www.bestbuy.com/site/vizio-65-class-m-series-quantum-led-smart-4k-uhd-2160p-tv-with-hdr/6345460.p?skuId=6345460,3,Best Buy,VIZIO,LED,65,4K,Your price for this item is $769.99
https://www.bestbuy.com/site/lg-75-class-led-uk6190-series-2160p-smart-4k-uhd-tv-with-hdr/6290163.p?skuId=6290163,3,Best Buy,LG,LED,75,4K,Your price for this item is $999.99
https://www.bestbuy.com/site/samsung-55-class-led-7-series-2160p-smart-4k-uhd-tv-with-hdr/6323731.p?skuId=6323731,3,Best Buy,Samsung,LED,55,4K,Your price for this item is $499.99
https://www.bestbuy.com/site/samsung-40-class-led-5-series-1080p-smart-hdtv/6360291.p?skuId=6360291,3,Best Buy,Samsung,LED,40,1080p,Your price for this item is $199.99
https://www.bestbuy.com/site/tcl-50-class-led-4-series-2160p-smart-4k-uhd-tv-with-hdr-roku-tv/6313062.p?skuId=6313062,3,Best Buy,TCL,LED,50,4K,Your price for this item is $279.99
https://www.bestbuy.com/site/vizio-70-class-led-e-series-2160p-smart-4k-uhd-tv-with-hdr/6259880.p?skuId=6259880,3,Best Buy,VIZIO,LED,70,4K,Your price for this item is $779.99
https://www.bestbuy.com/site/samsung-55-class-led-q80-series-2160p-smart-4k-uhd-tv-with-hdr/6331760.p?skuId=6331760,3,Best Buy,Samsung,LED,55,4K,"Your price for this item is $1,499.99"
https://www.bestbuy.com/site/samsung-65-class-led-q70-series-2160p-smart-4k-uhd-tv-with-hdr/6331762.p?skuId=6331762,3,Best Buy,Samsung,LED,65,4K,"Your price for this item is $1,399.99"
https://www.bestbuy.com/site/lg-55-class-led-nano-8-series-2160p-smart-4k-uhd-tv-with-hdr/6334055.p?skuId=6334055,3,Best Buy,LG,LED,55,4K,Your price for this item is $799.99
https://www.bestbuy.com/site/lg-50-class-led-um7300pua-series-2160p-smart-4k-uhd-tv-with-hdr/6334034.p?skuId=6334034,3,Best Buy,LG,LED,50,4K,Your price for this item is $379.99
https://www.bestbuy.com/site/tcl-65-class-led-4-series-2160p-smart-4k-uhd-tv-with-hdr-roku-tv/6323856.p?skuId=6323856,3,Best Buy,TCL,LED,65,4K,Your price for this item is $499.99
https://www.bestbuy.com/site/samsung-75-class-led-7-series-2160p-smart-4k-uhd-tv-with-hdr/6325571.p?skuId=6325571,3,Best Buy,Samsung,LED,75,4K,"Your price for this item is $1,299.99"
https://www.bestbuy.com/site/westinghouse-32-class-led-720p-hdtv/7617077.p?skuId=7617077,3,Best Buy,Westinghouse,LED,32,720p,Your price for this item is $99.99
https://www.bestbuy.com/site/vizio-55-class-led-m-series-quantum-series-2160p-smart-4k-uhd-tv-with-hdr/6345457.p?skuId=6345457,3,Best Buy,VIZIO,LED,55,4K,Your price for this item is $569.99
